'root:Environmental:Terrestrial:Soil:Agricultural', 'MGYS00003922', 'ERP016937', 'A combination of biochar-mineral complexes and compost improves soil bacterial processes, soil quality, and plant properties'
'root:Environmental:Aquatic:Freshwater:Lake', 'MGYS00003869', 'ERP016591', 'A decade of seasonal dynamics and co-occurrences within freshwater bacterioplankton communities from eutrophic Lake Mendota, WI, USA'
'root:Environmental:Terrestrial:Soil:Agricultural', 'MGYS00003917', 'ERP021540', 'Agricultural intensification and the functional capacity of soil microbes on smallholder African farms - kakamenga'
'root:Environmental:Terrestrial:Soil:Agricultural', 'MGYS00003921', 'ERP021545', 'Agricultural intensification and the functional capacity of soil microbes on smallholder African farms -swkenya'
'root:Environmental:Aquatic:Marine:Sediment', 'MGYS00003855', 'ERP021691', 'Anaerobic ammonium-oxidizing bacteria in marine environments: widespread occurrence but low diversity'
'root:Environmental:Aquatic:Freshwater:Lake', 'MGYS00003962', 'ERP016854', 'Bacterial Community Spatial and Temporal Variation in a North Temperate Bog Lake'
'root:Environmental:Aquatic:Marine:Coastal', 'MGYS00003867', 'ERP016464', 'Bergen Ocean Acidification Mesocosms'
'root:Environmental:Aquatic:Sediment', 'MGYS00003687', 'ERP016496', 'Biodiversity and Functional Patterns of Microbial Assemblages in Postglacial Pond Sediment Profiles'
'root:Environmental:Aquatic:Marine:Oceanic:Sediment', 'MGYS00003806', 'ERP020587', 'Biogeographical distribution and diversity of microbes in methane hydrate-bearing deep marine sediments on the Pacific Ocean Margin'
'root:Environmental:Aquatic:Marine:Sediment', 'MGYS00003809', 'ERP017221', 'Bioturbating shrimp alter the structure and diversity of bacterial communities in coastal marine sediments'
'root:Host-associated:Birds', 'MGYS00003666', 'ERP016455', 'Bird Egg Shells from Spain'
'root:Environmental:Aquatic:Marine:Hydrothermal vents', 'MGYS00003909', 'ERP016395', 'Brazelton LostCity chimney biofilm'
'root:Environmental:Terrestrial:Soil', 'MGYS00003754', 'ERP016586', 'Brazilian Antarctic cleanup 16S'
'root:Environmental:Terrestrial:Soil', 'MGYS00003807', 'ERP020023', 'Canadian MetaMicroBiome Initiative samples from'
'root:Host-associated:Mammals:Digestive system', 'MGYS00003708', 'ERP016405', 'Catchment sources of microbes'
'root:Environmental:Aquatic:Marine', 'MGYS00003780', 'ERP020022', 'Catlin Arctic Survey 2010 L3'
'root:Environmental:Terrestrial:Soil', 'MGYS00003769', 'ERP016926', 'Chu Changbai mountain soil'
'root:Host-associated:Plants', 'MGYS00003677', 'ERP021895', 'Continental-scale variation in seaweed host-associated bacterial communities is a function of host condition, not geography'
'root:Host-associated:Mammals:Digestive system:Fecal', 'MGYS00002673', 'ERP003782', 'Convergence of gut microbiomes in myrmecophagous mammals'
'root:Environmental:Aquatic:Marine', 'MGYS00003750', 'ERP016541', 'Defining seasonal marine microbial community dynamics'
'root:Environmental:Terrestrial:Soil', 'MGYS00003759', 'ERP016735', 'Distinct microbial communities associated with buried soils in the Siberian tundra.'
'root:Environmental:Aquatic:Marine:Oceanic:Sediment', 'MGYS00003810', 'ERP016412', 'Diversity of carbonate deposits and basement rocks in continental and marine serpentinite seeps.'
'root:Host-associated:Insecta', 'MGYS00003800', 'ERP023686', 'Dominguez sleep deprived flies'
'root:Environmental:Terrestrial:Soil:Desert', 'MGYS00003786', 'ERP020560', 'Environmental metagenomic interrogation of Thar desert microbial communities'
'root:Host-associated:Human:Digestive system', 'MGYS00003911', 'ERP016451', 'Ercolini whole grain feces'
'root:Environmental:Aquatic', 'MGYS00003852', 'ERP017176', 'Examination of Microbial Communities through a Freshwater/saltwater Transition Zone in Cenotes, Yucatan, Mexico'
'root:Environmental:Terrestrial:Soil:Agricultural', 'MGYS00003785', 'ERP020539', 'Exploring links between pH and bacterial community composition in soils from the Craibstone Experimental Farm.'
'root:Host-associated:Mammals:Digestive system', 'MGYS00003670', 'ERP016483', 'Ezenwa Cape Buffalo'
'root:Environmental:Terrestrial:Soil', 'MGYS00003916', 'ERP016927', 'Friedman Alaska peat soils'
'root:Host-associated:Birds:Digestive system', 'MGYS00003681', 'ERP016414', 'Garcia bird gut microbiome'
'root:Environmental:Aquatic:Sediment', 'MGYS00003699', 'ERP016880', 'Geographic distance and pH drive bacterial distribution in alkaline lake sediments across Tibetan Plateau'
'root:Environmental:Aquatic:Freshwater:Sediment', 'MGYS00003851', 'ERP016468', 'Gibbons tongue river 16S'
'root:Mixed', 'MGYS00003957', 'ERP020884', 'Global patterns of 16S rRNA diversity at a depth of millions of sequences per sample - 3 prime'
